"Class","InProject","InDex"
"SleepListenService","True","True"
"SleepOvernightStore","True","True"
"SleepSessionFinisher","True","True"
"SleepOvernightReconciler","False","False"
"SleepTrackSample","True","True"
"SleepAudioAnalyzer","True","True"
"SleepAudioFeaturePipeline","True","True"
"SleepMelFeatureExtractor","True","True"
"SleepYamNetClassifier","True","True"
"SleepStagingV2Classifier","True","True"
"SleepMlClassifier","True","True"
"SleepTfliteRunner","True","True"
"SleepMlPipelineStatus","False","False"
"SleepFeatureEncoder","True","True"
"SleepStageInference","True","True"
"SleepPhaseAnalyzer","True","True"
"SleepStageSmoother","True","True"
"SleepStageLabel","True","True"
"SleepConfidenceStaging","False","False"
"SleepHealthFusion","True","True"
"SleepHypnogram","False","False"
"SleepHypnogramDisplay","False","False"
"SleepEventMarkersEncoder","True","True"
"SleepSnoreMetrics","True","True"
"SleepBreathingDisruptionAnalyzer","True","True"
"SleepAudioQualityClassifier","True","True"
"SleepOsaRiskScorer","True","True"
"SleepAnalyticsCompact","True","True"
"SleepMicCoverage","True","True"
"SleepSonarBeta","False","False"
"SleepSonarProbe","False","False"
"SleepPcmRingBuffer","True","True"
"SleepAudioClipStore","False","False"
"SleepClipPlayer","False","False"
"SleepSoundKinds","False","False"
"SleepAccelWindow","True","True"
"SleepUserCalibration","False","False"
"SleepHistoryPersonalization","False","False"
"SleepMlFeedback","False","False"
"SleepMlFeedbackApply","False","False"
"SleepEntryRepair","False","False"
"SleepEntryTimeEditor","False","False"
"SleepEntryValidator","False","False"
"SleepDebtTracker","False","False"
"SleepConsistencyScorer","False","False"
"SleepScoreConfidence","False","False"
"SleepNightAnalytics","False","False"
"SleepTrendAnalysis","False","False"
"SleepScience","False","False"
"SleepNapDetector","False","False"
"SleepTrackingLiveStats","False","False"
"SleepQuickTest","False","False"
"SleepCycleLineChart","False","False"
"SleepListenPreferences","True","True"
"SleepAlarmPreferences","True","True"
"SleepAlarmScheduler","True","True"
"SleepAlarmReceiver","False","True"
"SleepAlarmBootReceiver","False","True"
"SleepAlarmSoundService","True","True"
"SleepAlarmActivity","False","True"
"SleepAlarmDismiss","False","True"
"SleepAlarmSpotify","False","False"
"SleepSpotifyPicker","False","False"
"SleepWakeRecap","False","True"
"SleepWakePlanner","False","False"
"BedtimeReminderPrefs","False","False"
"BedtimeReminderScheduler","True","True"
"BedtimeReminderReceiver","False","True"
"WindDownAutomation","False","False"
"BatteryOptimizationNudge","False","False"
"SleepCalendarHelper","False","False"
"SleepCalendarPermissions","False","False"
"CalendarPermissionActivity","False","True"
"SleepCalendarManualCommitment","False","False"
"SleepCalendarObserver","False","False"
"GoogleCalendarLink","False","False"
"SleepTravelEta","False","False"
"SleepTabScreen","True","False"
"SleepTabScreenBody","False","False"
"SleepTabComponents","True","False"
"SleepTrackingLiveCard","False","False"
"SleepOvernightLiveChart","False","False"
"SleepNightDetailSheet","False","False"
"SleepNightStatsSection","False","False"
"SleepDisturbanceTimeline","False","False"
"SleepSnoreMetricsCard","False","False"
"SleepBreathingDisruptionsCard","False","False"
"SleepTrendCard","False","False"
"SleepTrendChart","False","False"
"HealthConnectSleepBanner","False","False"
"SleepCalendarAccessCard","False","False"
"SleepRecoveryGuideCard","False","False"
"SleepFormatters","False","False"
"SleepChartGestures","False","False"
"SleepMarkerPreviewSound","False","False"
"SleepRepository","True","False"
"SleepDao","True","False"
"SleepSoundDao","False","False"
"SleepUseCases","False","False"
"SleepCycleCsvImporter","False","False"
"SleepFirestoreSync","True","False"
"SleepRhythmHomeCard","False","False"
"SleepDebtHomeCard","False","False"
"SleepGymNudgeCard","False","False"
"SleepScoring","False","False"
"SleepHypnogramChart","False","False"
"SleepLoadDashboardCard","False","False"
